Wort New,Bedeutung,verwandte Begriffe -->...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a priori,a priori,von vornherein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. a. O.,a. a. O.,am angeführten Ort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Chr. n.,a. Chr. n.,vor Christi,ante Christum natum,vor Christus,vor Christi Geburt,v. u. Z.,v. Chr.,vor unserer Zeitrechnung,a. Chr.,ante Christum,,,,,,,,,,,,,,,,,,,,,
a. D.,a. D.,außer Dienst,dienstfrei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aas,Aas,Tierleiche,Kadaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB ,AB (umgangssprachlich),Anrufbeantworter,Telefonbeantworter (schweiz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab ,ab (einem bestimmten Zeitpunkt),nicht eher als,erst wenn,nicht vor,nicht früher als,nicht bevor,erst als,,,,,,,,,,,,,,,,,,,,,,,,
ab Fabrik,ab Fabrik,werksseitig eingestellt,standardmäßig,im Auslieferungszustand,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abakus,Abakus,Rechenbrett,Rechentafel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abalinieren,abalinieren,befremden,verfremden,entfremden,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abänderung,Abänderung,Durchsicht,Veränderung,Redigieren,Änderung,Revision,,,,,,,,,,,,,,,,,,,,,,,,,
abarbeiten,abarbeiten,ausführen,durchführen,verarbeiten,ablaufen lassen,,,,,,,,,,,,,,,,,,,,,,,,,,
Abarbeitung,Abarbeitung,Bearbeitung,Verarbeitung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abballern ,abballern (umgangssprachlich),niederschießen,abschießen,erschießen,abknallen (umgangssprachlich),totschießen,über den Haufen schießen (umgangssprachlich),,,,,,,,,,,,,,,,,,,,,,,,
Abbau,Abbau,Förderung,Gewinnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbau von Unterschieden,Abbau von Unterschieden,Gleichschaltung,Gleichmacherei,Nivellierung,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbauen,abbauen,abschaffen,aufheben,beseitigen,auflösen,aus der Welt schaffen (umgangssprachlich),,,,,,,,,,,,,,,,,,,,,,,,,
abberufen,abberufen,beurlauben,entlassen,absetzen,entmachten,,,,,,,,,,,,,,,,,,,,,,,,,,
